id,date,text,reposts,comments,like
4309109417936394,2018-11-22,"<a href='/n/环球网'>@环球网</a> <span class=""url-icon""><img alt=""[耶]"" src=""//h5.sinaimg.cn/m/emoticon/icon/others/h_ye-4ef8705b08.png"" style=""width:1em; height:1em;""/></span>我们有幸赶上了好时代、新时代，衷心地感谢观众朋友们多年的支持与关注<span class=""url-icon""><img alt=""[good]"" src=""//h5.sinaimg.cn/m/emoticon/icon/others/h_good-55854d01bb.png"" style=""width:1em; height:1em;""/></span><span class=""url-icon""><img alt=""[作揖]"" src=""//h5.sinaimg.cn/m/emoticon/icon/others/h_zuoyi-38716bd05f.png"" style=""width:1em; height:1em;""/></span>🙏 ",130,0,1936.0
4308866047023540,2018-11-22,自取其辱,165,0,3522.0
4308437510888238,2018-11-20,"学照相：北京十里河文化街民俗铜组像<span class=""url-icon""><img alt=""[good]"" src=""//h5.sinaimg.cn/m/emoticon/icon/others/h_good-55854d01bb.png"" style=""width:1em; height:1em;""/></span><span class=""url-icon""><img alt=""[握手]"" src=""//h5.sinaimg.cn/m/emoticon/icon/others/h_woshou-9ec25c8391.png"" style=""width:1em; height:1em;""/></span><span class=""url-icon""><img alt=""[耶]"" src=""//h5.sinaimg.cn/m/emoticon/icon/others/h_ye-4ef8705b08.png"" style=""width:1em; height:1em;""/></span> ",116,0,2723.0
4308345349150815,2018-11-20,"今天是 <a  href=""https://m.weibo.cn/search?containerid=231522type%3D1%26q%3D%23%E5%9B%BD%E9%99%85%E5%84%BF%E7%AB%A5%E6%97%A5%23%26t%3D10&isnewpage=1&luicode=10000011&lfid=1076031211441627"" data-hide=""""><span class=""surl-text"">#国际儿童日#</span></a> ，这是为儿童设立的行动日，也是充分体现儿童参与的节日，让我们共同保护儿童权利，从小树立正确的人生观，为每个孩子创造更美好的未来。<span class=""url-icon""><img alt=""[good]"" src=""//h5.sinaimg.cn/m/emoticon/icon/others/h_good-55854d01bb.png"" style=""width:1em; height:1em;""/></span><span class=""url-icon""><img alt=""[握手]"" src=""//h5.sinaimg.cn/m/emoticon/icon/others/h_woshou-9ec25c8391.png"" style=""width:1em; height:1em;""/></span><span class=""url-icon""><img alt=""[耶]"" src=""//h5.sinaimg.cn/m/emoticon/icon/others/h_ye-4ef8705b08.png"" style=""width:1em; height:1em;""/></span> ",199,0,4306.0
4307983288013944,2018-11-19,"今天（农历十月十二）在福建、广东等不少省市及地区认为是齐天大圣的诞生日，每年都会在这天举行隆重的齐天大圣生日庆典，闽北、闽西北等很多地方都有齐天大圣庙，家家户户都供奉有孙悟空像，还有各种木雕及不同材质的孙悟空工艺品展示。<span class=""url-icon""><img alt=""[作揖]"" src=""//h5.sinaimg.cn/m/emoticon/icon/others/h_zuoyi-38716bd05f.png"" style=""width:1em; height:1em;""/></span><span class=""url-icon""><img alt=""[握手]"" src=""//h5.sinaimg.cn/m/emoticon/icon/others/h_woshou-9ec25c8391.png"" style=""width:1em; height:1em;""/></span>🙏 ",172,0,3335.0
4307688097481835,2018-11-18,🇨🇳中国，一点都不能少！,233,0,9292.0
4307621101621245,2018-11-18,"获提名已不敢当 🙏<span class=""url-icon""><img alt=""[握手]"" src=""//h5.sinaimg.cn/m/emoticon/icon/others/h_woshou-9ec25c8391.png"" style=""width:1em; height:1em;""/></span><span class=""url-icon""><img alt=""[耶]"" src=""//h5.sinaimg.cn/m/emoticon/icon/others/h_ye-4ef8705b08.png"" style=""width:1em; height:1em;""/></span> ",446,0,12722.0
4307296432985214,2018-11-17,"<a href='/n/人民网'>@人民网</a> ：《大圣轮回之大闹天宫》全新宣传片即将登录湖南卫视<span class=""url-icon""><img alt=""[耶]"" src=""//h5.sinaimg.cn/m/emoticon/icon/others/h_ye-4ef8705b08.png"" style=""width:1em; height:1em;""/></span><span class=""url-icon""><img alt=""[握手]"" src=""//h5.sinaimg.cn/m/emoticon/icon/others/h_woshou-9ec25c8391.png"" style=""width:1em; height:1em;""/></span><span class=""url-icon""><img alt=""[good]"" src=""//h5.sinaimg.cn/m/emoticon/icon/others/h_good-55854d01bb.png"" style=""width:1em; height:1em;""/></span><a href='/n/四九游戏'>@四九游戏</a>  <a data-url=""http://t.cn/E2q2jXa"" target=""_blank"" href=""https://weibo.cn/sinaurl/blocked091fbd26?url=http%3A%2F%2Fgame.people.com.cn%2Fn1%2F2018%2F1116%2Fc40130-30405282.html%3Ffrom%3Dsinglemessage%26isappinstalled%3D0&sinainternalbrowser=topnav&share_menu=1&luicode=10000011&lfid=1076031211441627&u=http%3A%2F%2Fgame.people.com.cn%2Fn1%2F2018%2F1116%2Fc40130-30405282.html%3Ffrom%3Dsinglemessage%26isappinstalled%3D0"" class=""""><span class='url-icon'><img style='width: 1rem;height: 1rem' src='https://h5.sinaimg.cn/upload/2015/09/25/3/timeline_card_small_web_default.png'></span><span class=""surl-text"">《大圣轮回之大闹天宫》全新宣传片即将登录湖南卫视</span></a> ",317,0,2273.0
4307261847968774,2018-11-17,"1961年的今天，毛泽东主席在10月10日看了由浙江绍剧团(父亲六龄童、伯父七龄童、二哥小六龄童等同仁们）演出的绍剧舞台剧《孙悟空三打白骨精》后挥毫写下了诗词《七律·和郭沫若同志》，“金猴奋起千钧棒，玉宇澄清万里埃”的光辉诗句已经成为经典绝唱。<span class=""url-icon""><img alt=""[作揖]"" src=""//h5.sinaimg.cn/m/emoticon/icon/others/h_zuoyi-38716bd05f.png"" style=""width:1em; height:1em;""/></span><span class=""url-icon""><img alt=""[耶]"" src=""//h5.sinaimg.cn/m/emoticon/icon/others/h_ye-4ef8705b08.png"" style=""width:1em; height:1em;""/></span>🙏 ",136,0,3301.0
4306722635820150,2018-11-15,"<span class=""url-icon""><img alt=""[作揖]"" src=""//h5.sinaimg.cn/m/emoticon/icon/others/h_zuoyi-38716bd05f.png"" style=""width:1em; height:1em;""/></span><span class=""url-icon""><img alt=""[耶]"" src=""//h5.sinaimg.cn/m/emoticon/icon/others/h_ye-4ef8705b08.png"" style=""width:1em; height:1em;""/></span>🙏 <a href='/n/品牌联盟'>@品牌联盟</a>  <a data-url=""http://t.cn/E2zXVx2"" target=""_blank"" href=""https://weibo.cn/sinaurl/blockeddb133e65?url=https%3A%2F%2Fmp.weixin.qq.com%2Fs%3F__biz%3DMjM5NTQ2ODQwMQ%3D%3D%26mid%3D2655722732%26idx%3D1%26sn%3D6ce57065af0100c5d591a68978ba9257&share_menu=1&sinainternalbrowser=topnav&mid=4306722635820150&luicode=10000011&lfid=1076031211441627&u=https%3A%2F%2Fmp.weixin.qq.com%2Fs%3F__biz%3DMjM5NTQ2ODQwMQ%3D%3D%26mid%3D2655722732%26idx%3D1%26sn%3D6ce57065af0100c5d591a68978ba9257"" class=""""><span class='url-icon'><img style='width: 1rem;height: 1rem' src='https://h5.sinaimg.cn/upload/2015/09/25/3/timeline_card_small_web_default.png'></span><span class=""surl-text"">中国品牌40年40人候选人：六小龄童</span></a> ",129,1,2386.0
